"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/08/2017","AQS","060658001","9","0.3","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/09/2017","AQS","060658001","9","0.3","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/10/2017","AQS","060658001","9","0.8","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/11/2017","AQS","060658001","9","0.9","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/12/2017","AQS","060658001","9","1.1","ppb","1","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/13/2017","AQS","060658001","9","0.3","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/14/2017","AQS","060658001","9","0.5","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/15/2017","AQS","060658001","9","0.6","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/16/2017","AQS","060658001","9","0.5","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/17/2017","AQS","060658001","9","0.7","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/18/2017","AQS","060658001","9","0.3","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/19/2017","AQS","060658001","9","0.3","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/20/2017","AQS","060658001","9","0.5","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/21/2017","AQS","060658001","9","0.9","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/22/2017","AQS","060658001","9","0.7","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/23/2017","AQS","060658001","9","0.5","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/24/2017","AQS","060658001","9","0.3","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/25/2017","AQS","060658001","9","0.3","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/26/2017","AQS","060658001","9","0.7","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/27/2017","AQS","060658001","9","0.4","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/28/2017","AQS","060658001","9","0.4","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/29/2017","AQS","060658001","9","0.4","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/30/2017","AQS","060658001","9","0.6","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"05/01/2017","AQS","060658001","9","0.9","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"05/02/2017","AQS","060658001","9","1","ppb","1","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"05/03/2017","AQS","060658001","9","0.8","ppb","0","Rubidoux","19","79.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"05/04/2017","AQS","060658001","9","0.7","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"05/05/2017","AQS","060658001","9","0.3","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"05/06/2017","AQS","060658001","9","0.2","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"05/07/2017","AQS","060658001","9","0.3","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
