date,AQI
03/15/2019,0
03/16/2019,0
03/17/2019,8
03/18/2019,17
03/19/2019,32
03/20/2019,18
03/21/2019,6
03/22/2019,27
03/23/2019,25
03/24/2019,28
03/25/2019,46
03/26/2019,52
03/27/2019,30
03/28/2019,15
03/29/2019,25
03/30/2019,26
03/31/2019,18
04/01/2019,14
04/02/2019,30
04/03/2019,13
04/04/2019,12
04/05/2019,11
04/06/2019,20
04/07/2019,35
04/08/2019,35
04/09/2019,28
04/10/2019,14
04/11/2019,20
04/12/2019,25
04/13/2019,20
04/14/2019,21
04/15/2019,22
04/16/2019,20
04/17/2019,27
04/18/2019,39
04/19/2019,56
04/20/2019,36
04/21/2019,23
04/22/2019,37
04/23/2019,54
04/24/2019,56
04/25/2019,54
04/26/2019,56
04/27/2019,66
04/28/2019,63
04/29/2019,13
04/30/2019,21
05/01/2019,28
05/02/2019,42
05/03/2019,55
05/04/2019,54
05/05/2019,47
05/06/2019,16
05/07/2019,12
05/08/2019,22
05/09/2019,23
05/10/2019,13
05/11/2019,33
05/12/2019,35
05/13/2019,52
05/14/2019,66
05/15/2019,60
05/16/2019,14
05/17/2019,22
05/18/2019,34
05/19/2019,9
05/20/2019,6
05/21/2019,17
05/22/2019,11
05/23/2019,18
05/24/2019,19
05/25/2019,20
05/26/2019,13
05/27/2019,17
05/28/2019,25
05/29/2019,37
05/30/2019,55
05/31/2019,67
06/01/2019,46
06/02/2019,38
06/03/2019,52
06/04/2019,66
06/05/2019,62
06/06/2019,63
06/07/2019,54
06/08/2019,58
06/09/2019,54
06/10/2019,35
06/11/2019,43
06/12/2019,58
06/13/2019,59
06/14/2019,52
06/15/2019,56
06/16/2019,59
06/17/2019,25
06/18/2019,43
06/19/2019,54
06/20/2019,44
06/21/2019,3
06/22/2019,21
06/23/2019,48
06/24/2019,56
06/25/2019,56
06/26/2019,52
06/27/2019,56
06/28/2019,53
06/29/2019,49
06/30/2019,40
07/01/2019,45
07/02/2019,48
07/03/2019,58
07/04/2019,79
07/05/2019,169
07/06/2019,63
07/07/2019,58
07/08/2019,48
07/09/2019,59
07/10/2019,54
07/11/2019,58
07/12/2019,65
07/13/2019,67
07/14/2019,59
07/15/2019,65
07/16/2019,56
07/17/2019,52
07/18/2019,47
07/19/2019,37
07/20/2019,39
07/21/2019,46
07/22/2019,52
07/23/2019,50
07/24/2019,35
07/25/2019,46
07/26/2019,47
07/27/2019,57
07/28/2019,59
07/29/2019,53
07/30/2019,61
07/31/2019,63
08/01/2019,52
08/02/2019,43
08/03/2019,45
08/04/2019,51
08/05/2019,43
08/06/2019,54
08/07/2019,52
08/08/2019,55
08/09/2019,53
08/10/2019,52
08/11/2019,41
08/12/2019,46
08/13/2019,51
08/14/2019,47
08/15/2019,43
08/16/2019,40
08/17/2019,36
08/18/2019,40
08/19/2019,51
08/20/2019,45
08/21/2019,52
09/19/2019,33
09/20/2019,36
09/21/2019,47
09/22/2019,23
09/23/2019,43
09/24/2019,41
09/25/2019,49
09/26/2019,24
09/27/2019,23
09/28/2019,9
09/29/2019,17
09/30/2019,29
10/01/2019,28
10/02/2019,36
10/03/2019,44
10/04/2019,52
10/05/2019,51
10/06/2019,52
10/07/2019,43
10/08/2019,39
10/09/2019,52
10/10/2019,44
10/11/2019,5
10/12/2019,35
10/13/2019,51
10/14/2019,54
10/15/2019,51
10/16/2019,43
10/17/2019,53
10/18/2019,38
10/19/2019,45
10/20/2019,33
10/21/2019,23
10/22/2019,24
10/23/2019,30
10/24/2019,18
10/25/2019,23
