"Date","Source","Site.ID","POC","Daily.Mean.PM2.5.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/18/2017","AQS",60711004,3,24.3,"ug/m3 LC",77,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"03/19/2017","AQS",60711004,3,17.3,"ug/m3 LC",62,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"03/20/2017","AQS",60711004,3,21.1,"ug/m3 LC",70,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"03/21/2017","AQS",60711004,3,14.2,"ug/m3 LC",55,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"03/22/2017","AQS",60711004,3,10.1,"ug/m3 LC",42,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"03/23/2017","AQS",60711004,3,11.6,"ug/m3 LC",48,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"03/29/2017","AQS",60711004,3,8.4,"ug/m3 LC",35,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"03/30/2017","AQS",60711004,3,10.8,"ug/m3 LC",45,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"03/31/2017","AQS",60711004,3,13.5,"ug/m3 LC",54,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/01/2017","AQS",60711004,3,14.3,"ug/m3 LC",56,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/02/2017","AQS",60711004,3,13.5,"ug/m3 LC",54,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/03/2017","AQS",60711004,3,15.9,"ug/m3 LC",59,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/04/2017","AQS",60711004,3,19.4,"ug/m3 LC",66,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/05/2017","AQS",60711004,3,12.9,"ug/m3 LC",53,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/06/2017","AQS",60711004,3,14.8,"ug/m3 LC",57,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/07/2017","AQS",60711004,3,19.2,"ug/m3 LC",66,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/08/2017","AQS",60711004,3,10.5,"ug/m3 LC",44,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/09/2017","AQS",60711004,3,10.7,"ug/m3 LC",45,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/10/2017","AQS",60711004,3,13.8,"ug/m3 LC",55,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/11/2017","AQS",60711004,3,18,"ug/m3 LC",63,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/12/2017","AQS",60711004,3,15.2,"ug/m3 LC",58,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/13/2017","AQS",60711004,3,8.9,"ug/m3 LC",37,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/14/2017","AQS",60711004,3,9.8,"ug/m3 LC",41,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/15/2017","AQS",60711004,3,13.7,"ug/m3 LC",54,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/16/2017","AQS",60711004,3,14.7,"ug/m3 LC",56,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/17/2017","AQS",60711004,3,10.4,"ug/m3 LC",43,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/18/2017","AQS",60711004,3,10,"ug/m3 LC",42,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/19/2017","AQS",60711004,3,12.6,"ug/m3 LC",52,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/20/2017","AQS",60711004,3,14.2,"ug/m3 LC",55,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"04/21/2017","AQS",60711004,3,12.7,"ug/m3 LC",52,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
