"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/23/2022","AQS","060650009","1","0.042","ppm","39","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"02/24/2022","AQS","060650009","1","0.044","ppm","41","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"02/25/2022","AQS","060650009","1","0.047","ppm","44","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"02/26/2022","AQS","060650009","1","0.049","ppm","45","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"02/27/2022","AQS","060650009","1","0.049","ppm","45","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"02/28/2022","AQS","060650009","1","0.05","ppm","46","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/01/2022","AQS","060650009","1","0.051","ppm","47","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/02/2022","AQS","060650009","1","0.064","ppm","80","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/03/2022","AQS","060650009","1","0.054","ppm","50","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/04/2022","AQS","060650009","1","0.045","ppm","42","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/05/2022","AQS","060650009","1","0.048","ppm","44","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/06/2022","AQS","060650009","1","0.044","ppm","41","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/07/2022","AQS","060650009","1","0.049","ppm","45","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/08/2022","AQS","060650009","1","0.052","ppm","48","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/09/2022","AQS","060650009","1","0.053","ppm","49","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/10/2022","AQS","060650009","1","0.054","ppm","50","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/11/2022","AQS","060650009","1","0.052","ppm","48","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/12/2022","AQS","060650009","1","0.052","ppm","48","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/13/2022","AQS","060650009","1","0.055","ppm","51","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/14/2022","AQS","060650009","1","0.055","ppm","51","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/15/2022","AQS","060650009","1","0.064","ppm","80","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/16/2022","AQS","060650009","1","0.057","ppm","58","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/17/2022","AQS","060650009","1","0.054","ppm","50","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/18/2022","AQS","060650009","1","0.06","ppm","67","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/19/2022","AQS","060650009","1","0.048","ppm","44","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/20/2022","AQS","060650009","1","0.044","ppm","41","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/21/2022","AQS","060650009","1","0.052","ppm","48","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/22/2022","AQS","060650009","1","0.056","ppm","54","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
